,Year,Country Code,Country Name,Region,Income Group,Lending Type,MS.MIL.MPRT.KD,MS.MIL.XPND.CD,MS.MIL.XPND.GD.ZS
437,2009,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,1000000,2115785124,1.202323394
439,2009,POL,Poland,Europe & Central Asia,High income,IBRD,190000000,7903812008,1.797416228
441,2009,PRT,Portugal,Europe & Central Asia,High income,Not classified,370000000,4949690419,2.03079895
444,2009,QAT,Qatar,Middle East & North Africa,High income,Not classified,286000000,1948351648,1.992213177
445,2009,ROU,Romania,Europe & Central Asia,High income,IBRD,56000000,2225144540,1.278069612
446,2009,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD,8000000,51532116798,3.924063399
447,2009,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA,11000000,75278486.05,1.39938938
448,2009,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,824000000,41267200000,9.617199261
449,2009,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA,89000000,3180483010,5.453930314
450,2009,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA,4000000,214824243,1.322139908
451,2009,SGP,Singapore,East Asia & Pacific,High income,Not classified,1429000000,7537761858,3.882423348
455,2009,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA,1000000,609898632.6,4.968462633
456,2009,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified,9000000,1350294439,1.516486667
457,2009,SVN,Slovenia,Europe & Central Asia,High income,Not classified,10000000,798868642.2,1.586156825
458,2009,SWE,Sweden,Europe & Central Asia,High income,Not classified,17000000,5062962024,1.159804344
461,2009,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA,205000000,2181974581,4.027707759
462,2009,TCD,Chad,Sub-Saharan Africa ,Low income,IDA,35000000,738903737.1,7.95566213
464,2009,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,63000000,4799654668,1.703754773
465,2009,TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA,34000000,47529274.32,0.954768509
470,2009,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD,732000000,16047510904,2.489311742
471,2009,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA,25000000,219476865.3,0.757193066
472,2009,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA,25000000,293527670.7,1.179385231
474,2009,URY,Uruguay,Latin America & Caribbean ,High income,IBRD,29000000,577056008.5,1.82261338
475,2009,USA,United States,North America,High income,Not classified,977000000,7.05917E+11,4.88559968
476,2009,VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,IBRD,358000000,4055379599,1.231070415
477,2009,VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,60000000,2401450914,2.26520867
479,2009,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA,5000000,1420775264,5.653648497
480,2009,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD,134000000,3592687702,1.214002043
482,2010,AFG,Afghanistan,South Asia,Low income,IDA,377000000,298146852.5,1.945835694
485,2010,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,644000000,17504697073,6.038592208
486,2010,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,11000000,3475348407,0.814878106
487,2010,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,52000000,395011507.8,4.265646056
488,2010,AUS,Australia,East Asia & Pacific,High income,Not classified,1513000000,23217692816,1.856791362
489,2010,AUT,Austria,Europe & Central Asia,High income,Not classified,7000000,3218351224,0.821232712
490,2010,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,155000000,1476608734,2.791004357
492,2010,BEL,Belgium,Europe & Central Asia,High income,Not classified,32000000,5244720513,1.084632861
494,2010,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,0,123700474.7,1.377516262
495,2010,BGD,Bangladesh,South Asia,Lower middle income,IDA,36000000,1624625086,1.320837397
496,2010,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD,8000000,832549293,1.652468225
497,2010,BHR,Bahrain,Middle East & North Africa,High income,Not classified,103000000,842819148.9,3.277755942
501,2010,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,1000000,327413146.1,1.666248802
502,2010,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,310000000,34002944470,1.539406981
503,2010,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,33000000,390719540,2.850487901
504,2010,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD,10000000,348672725.3,2.726858683
506,2010,CAN,Canada,North America,High income,Not classified,228000000,19315688825,1.194338338
507,2010,CHE,Switzerland,Europe & Central Asia,High income,Not classified,48000000,4115407849,0.682000296
508,2010,CHL,Chile,Latin America & Caribbean ,High income,IBRD,473000000,4894081125,2.23946831
509,2010,CHN,China,East Asia & Pacific,Upper middle income,IBRD,981000000,1.05523E+11,1.73947515
511,2010,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend,10000000,354054397.8,1.354256639
512,2010,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA,151000000,183682097.5,0.851731339
513,2010,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend,27000000,218390920.6,1.778276155
514,2010,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,255000000,10422054494,3.642755602
518,2010,CYP,Cyprus,Europe & Central Asia,High income,Not classified,44000000,477587428.6,1.857807744
520,2010,DEU,Germany,Europe & Central Asia,High income,Not classified,282000000,43025915012,1.266826626
521,2010,DNK,Denmark,Europe & Central Asia,High income,Not classified,17000000,4503492127,1.398621787
522,2010,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,50000000,354856781.4,0.667531705
523,2010,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,835000000,5671309117,3.518012609
524,2010,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,89000000,2094000000,3.010551292
525,2010,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,686000000,4407286453,1.952967042
526,2010,ESP,Spain,Europe & Central Asia,High income,Not classified,288000000,19710785450,1.387378124
527,2010,EST,Estonia,Europe & Central Asia,High income,Not classified,13000000,332180157,1.686470067
528,2010,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA,54000000,303617033.1,1.133586485
529,2010,FIN,Finland,Europe & Central Asia,High income,Not classified,52000000,3717180505,1.49175816
531,2010,FRA,France,Europe & Central Asia,High income,Not classified,106000000,52044060565,1.969419353
532,2010,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD,22000000,268738503.9,1.871622566
533,2010,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,493000000,63979111970,2.578159502
535,2010,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,2000000,122480468.5,0.380677684
539,2010,GRC,Greece,Europe & Central Asia,High income,Not classified,630000000,8163619387,2.750218262
543,2010,HRV,Croatia,Europe & Central Asia,High income,IBRD,11000000,1015876654,1.695435808
544,2010,HUN,Hungary,Europe & Central Asia,High income,Not classified,18000000,1350820413,1.023995608
545,2010,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD,225000000,4663365759,0.617587092
546,2010,IND,India,South Asia,Lower middle income,IBRD,2911000000,46090445657,2.889461328
547,2010,IRL,Ireland,Europe & Central Asia,High income,Not classified,5000000,1274228688,0.573792994
548,2010,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD,97000000,13561272454,2.786548061
549,2010,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,436000000,3752905983,2.70935228
551,2010,ISR,Israel,Middle East & North Africa,High income,Not classified,68000000,13875211622,5.93634504
552,2010,ITA,Italy,Europe & Central Asia,High income,Not classified,102000000,32020819951,1.500494576
553,2010,JAM,Jamaica,Latin America & Caribbean ,Upper middle income,IBRD,1000000,115571396,0.874180243
554,2010,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD,90000000,1557887324,5.895420847
555,2010,JPN,Japan,East Asia & Pacific,High income,Not classified,403000000,54655450735,0.958851133
556,2010,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,58000000,1501815344,1.014415565
557,2010,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,116000000,622049847.8,1.555137868
559,2010,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,34000000,167857928,1.493096881
560,2010,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,1299000000,28175181219,2.462719203
561,2010,KWT,Kuwait,Middle East & North Africa,High income,Not classified,85000000,4335204653,3.756148142
563,2010,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,64000000,1585406302,4.126553124
566,2010,LKA,Sri Lanka,South Asia,Lower middle income,IBRD,4000000,1532026109,2.70074784
568,2010,LTU,Lithuania,Europe & Central Asia,High income,Not classified,8000000,326320918.7,0.878659092
569,2010,LUX,Luxembourg,Europe & Central Asia,High income,Not classified,7000000,274135432.5,0.559773079
570,2010,LVA,Latvia,Europe & Central Asia,High income,Not classified,15000000,259672124.2,1.087515236
571,2010,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,306000000,3160804832,3.390796101
575,2010,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,109000000,4789031339,0.452734493
581,2010,MNG,Mongolia,East Asia & Pacific,Lower middle income,IBRD,27000000,54855717.51,0.762997246
586,2010,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,423000000,3854285351,1.490210106
587,2010,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,3000000,396539101.4,3.514743976
588,2010,NER,Niger,Sub-Saharan Africa ,Low income,IDA,0,66889841.44,1.169691196
589,2010,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,188000000,1990099669,0.539231118
591,2010,NLD,Netherlands,Europe & Central Asia,High income,Not classified,190000000,11220523280,1.325433715
592,2010,NOR,Norway,Europe & Central Asia,High income,Not classified,159000000,6498659038,1.515698179
594,2010,NZL,New Zealand,East Asia & Pacific,High income,Not classified,58000000,1930748002,1.329636522
595,2010,OMN,Oman,Middle East & North Africa,High income,Not classified,31000000,3671391417,6.435575858
596,2010,PAK,Pakistan,South Asia,Lower middle income,Blend,2205000000,5974613176,3.423690973
598,2010,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,46000000,2178945723,1.463095269
599,2010,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,3000000,2438189569,1.170132201
601,2010,POL,Poland,Europe & Central Asia,High income,IBRD,169000000,8790170132,1.831918299
603,2010,PRT,Portugal,Europe & Central Asia,High income,Not classified,893000000,4718924038,1.980216597
604,2010,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD,3000000,204605254.8,0.751146438
606,2010,QAT,Qatar,Middle East & North Africa,High income,Not classified,30000000,1876758242,1.473909083
607,2010,ROU,Romania,Europe & Central Asia,High income,IBRD,107000000,2086220460,1.254421591
608,2010,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD,25000000,58720227609,3.585085721
610,2010,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,1083000000,45244533333,8.565677426
612,2010,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA,4000000,195732892.9,1.207104884
613,2010,SGP,Singapore,East Asia & Pacific,High income,Not classified,958000000,8108851420,3.38139844
616,2010,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD,16000000,872339631.7,2.085965342
617,2010,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA,2000000,650910667.8,4.140632543
618,2010,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified,9000000,1137680536,1.259740404
619,2010,SVN,Slovenia,Europe & Central Asia,High income,Not classified,40000000,772085107.5,1.603125212
620,2010,SWE,Sweden,Europe & Central Asia,High income,Not classified,11000000,5885935800,1.187128541
623,2010,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA,413000000,2346021283,4.056141736
624,2010,TCD,Chad,Sub-Saharan Africa ,Low income,IDA,38000000,615817007.5,5.764933115
625,2010,TGO,Togo,Sub-Saharan Africa ,Low income,IDA,1000000,56832843.04,1.658857988
626,2010,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,48000000,4962419956,1.454807925
629,2010,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend,18000000,26389000,0.65993948
630,2010,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD,24000000,143063064.8,0.635217367
631,2010,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD,7000000,571189045.7,1.296650042
632,2010,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD,485000000,17650464118,2.271714219
634,2010,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA,37000000,608685868.6,2.248163916
636,2010,URY,Uruguay,Latin America & Caribbean ,High income,IBRD,20000000,755659469.7,1.875807858
637,2010,USA,United States,North America,High income,Not classified,1091000000,7.38005E+11,4.922641677
639,2010,VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,IBRD,208000000,3991194835,1.013488628
640,2010,VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,150000000,2672286425,2.305049337
642,2010,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA,258000000,1448153377,4.685557034
643,2010,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD,180000000,4188168092,1.115808251
646,2011,AFG,Afghanistan,South Asia,Low income,IDA,661000000,325807003.7,1.821345454
649,2011,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,1235000000,19181756297,5.466314528
650,2011,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,15000000,4051930105,0.764287094
651,2011,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,5000000,390871433.9,3.853946441
652,2011,AUS,Australia,East Asia & Pacific,High income,Not classified,1557000000,26597198655,1.757078228
653,2011,AUT,Austria,Europe & Central Asia,High income,Not classified,8000000,3409721209,0.790897559
654,2011,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,557000000,3080084996,4.670135556
655,2011,BEL,Belgium,Europe & Central Asia,High income,Not classified,21000000,5499370964,1.043506795
657,2011,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,15000000,138850860.2,1.294759503
658,2011,BGD,Bangladesh,South Asia,Lower middle income,IDA,117000000,1801539802,1.355517777
659,2011,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD,29000000,757931260,1.32071732
660,2011,BHR,Bahrain,Middle East & North Africa,High income,Not classified,1000000,1033510638,3.591497227
662,2011,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,75000000,756277351.3,1.22449511
664,2011,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,25000000,403568566.1,1.684120002
665,2011,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,306000000,36936209896,1.411851159
666,2011,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,229000000,415371529,2.24224142
668,2011,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA,7000000,49874328.73,2.271558766
669,2011,CAN,Canada,North America,High income,Not classified,336000000,21393720864,1.193291896
670,2011,CHE,Switzerland,Europe & Central Asia,High income,Not classified,32000000,4973863849,0.688864301
671,2011,CHL,Chile,Latin America & Caribbean ,High income,IBRD,326000000,5686752070,2.254395656
672,2011,CHN,China,East Asia & Pacific,Upper middle income,IBRD,1055000000,1.25286E+11,1.665576053
676,2011,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,145000000,10306578506,3.081613642
680,2011,CYP,Cyprus,Europe & Central Asia,High income,Not classified,41000000,479735318.4,1.742662349
682,2011,DEU,Germany,Europe & Central Asia,High income,Not classified,84000000,45163212878,1.206150336
684,2011,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,12000000,348559830.1,0.60292806
685,2011,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,1125000000,8652237040,4.325706359
686,2011,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,68000000,2453700000,3.095110057
687,2011,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,630000000,4463974191,1.837025559
688,2011,ESP,Spain,Europe & Central Asia,High income,Not classified,168000000,19695435494,1.331876555
689,2011,EST,Estonia,Europe & Central Asia,High income,Not classified,1000000,389237580.9,1.664010243
690,2011,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA,76000000,332441772.4,1.090707444
691,2011,FIN,Finland,Europe & Central Asia,High income,Not classified,58000000,4099505807,1.489408984
693,2011,FRA,France,Europe & Central Asia,High income,Not classified,48000000,54120871010,1.891406214
694,2011,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD,5000000,265965337.6,1.46243423
695,2011,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,366000000,66569552573,2.502726402
696,2011,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,2000000,468779626.8,3.102968686
697,2011,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,76000000,234327479.6,0.592259763
701,2011,GRC,Greece,Europe & Central Asia,High income,Not classified,70000000,7128608267,2.522278766
704,2011,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,0,200358405.9,1.131309103
705,2011,HRV,Croatia,Europe & Central Asia,High income,IBRD,19000000,1106464042,1.769271041
706,2011,HUN,Hungary,Europe & Central Asia,High income,Not classified,9000000,1472069832,1.038426011
707,2011,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD,249000000,5838026186,0.653776703
708,2011,IND,India,South Asia,Lower middle income,IBRD,3598000000,49633815794,2.704483558
709,2011,IRL,Ireland,Europe & Central Asia,High income,Not classified,2000000,1300331547,0.547174817
710,2011,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD,98000000,14277667361,2.381634543
711,2011,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,574000000,4278632479,2.30344022
713,2011,ISR,Israel,Middle East & North Africa,High income,Not classified,85000000,15163227720,5.793753358
714,2011,ITA,Italy,Europe & Central Asia,High income,Not classified,286000000,33828804971,1.475956597
716,2011,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD,215000000,1594788732,5.501943731
717,2011,JPN,Japan,East Asia & Pacific,High income,Not classified,268000000,60762213841,0.986806493
718,2011,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,62000000,1803970782,0.936513485
719,2011,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,14000000,646678106.7,1.541418951
722,2011,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,1570000000,30991707946,2.472955581
723,2011,KWT,Kuwait,Middle East & North Africa,High income,Not classified,113000000,5393526319,3.501405502
724,2011,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,14000000,19009820.6,0.212126553
725,2011,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,1000000,1626533997,4.058656606
728,2011,LKA,Sri Lanka,South Asia,Lower middle income,IBRD,21000000,1751910641,2.683157721
730,2011,LTU,Lithuania,Europe & Central Asia,High income,Not classified,1000000,344605215.4,0.790700848
732,2011,LVA,Latvia,Europe & Central Asia,High income,Not classified,27000000,296834929.2,1.037159713
733,2011,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,1406000000,3342698956,3.297495235
736,2011,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,228000000,5498458542,0.465777803
738,2011,MLI,Mali,Sub-Saharan Africa ,Low income,IDA,0,161062674.6,1.24103333
739,2011,MLT,Malta,Middle East & North Africa,High income,Not classified,8000000,55893126.48,0.580640239
742,2011,MNG,Mongolia,East Asia & Pacific,Lower middle income,IBRD,3000000,87157848.16,0.837270237
743,2011,MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA,0,118871183,0.826553225
747,2011,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,5000000,4692483660,1.552853134
748,2011,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,1000000,443591424.5,3.574588955
749,2011,NER,Niger,Sub-Saharan Africa ,Low income,IDA,0,83947561.38,1.309803688
750,2011,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,62000000,2384936022,0.57922702
752,2011,NLD,Netherlands,Europe & Central Asia,High income,Not classified,120000000,11647934608,1.288365349
753,2011,NOR,Norway,Europe & Central Asia,High income,Not classified,606000000,7232260585,1.45143577
754,2011,NPL,Nepal,South Asia,Lower middle income,IDA,3000000,284518851.1,1.540651621
755,2011,NZL,New Zealand,East Asia & Pacific,High income,Not classified,28000000,2080091009,1.246089701
756,2011,OMN,Oman,Middle East & North Africa,High income,Not classified,21000000,5000715215,7.352165185
757,2011,PAK,Pakistan,South Asia,Lower middle income,Blend,1128000000,6954787511,3.285650816
759,2011,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,63000000,2355167834,1.377373314
760,2011,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,63000000,2701492158,1.153414552
762,2011,POL,Poland,Europe & Central Asia,High income,IBRD,137000000,9455422988,1.789808791
763,2011,PRT,Portugal,Europe & Central Asia,High income,Not classified,167000000,4904393519,2.002650015
764,2011,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD,8000000,285106240.8,0.845623774
766,2011,ROU,Romania,Europe & Central Asia,High income,IBRD,80000000,2379871482,1.298162661
767,2011,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD,10000000,70237523951,3.433043838
769,2011,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,1222000000,48530933333,7.230053324
771,2011,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA,16000000,230190350.7,1.287505632
772,2011,SGP,Singapore,East Asia & Pacific,High income,Not classified,895000000,8922267805,3.193874569
773,2011,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA,2000000,25476183.91,0.865813494
776,2011,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA,61000000,1052721970,6.094415322
778,2011,SVN,Slovenia,Europe & Central Asia,High income,Not classified,28000000,665679671.4,1.292170764
779,2011,SWE,Sweden,Europe & Central Asia,High income,Not classified,191000000,6324747364,1.101691164
781,2011,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD,7000000,8712704.951,0.855504063
783,2011,TCD,Chad,Sub-Saharan Africa ,Low income,IDA,1000000,609706993.1,5.010096531
785,2011,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,268000000,5512983861,1.486704232
788,2011,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend,14000000,20530000,0.361322797
789,2011,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD,12000000,146080695.2,0.566437191
790,2011,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD,7000000,715239597.1,1.561273323
791,2011,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD,780000000,17006477805,2.027506592
792,2011,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA,78000000,307473984.2,0.903150747
793,2011,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA,469000000,607135070.9,2.294709875
796,2011,USA,United States,North America,High income,Not classified,1012000000,7.52288E+11,4.840173995
797,2011,VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,IBRD,596000000,3577531587,1.130405341
798,2011,VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,1010000000,2686520590,1.982099947
800,2011,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA,45000000,1612254443,4.926461703
801,2011,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD,212000000,4594154078,1.103257676
802,2011,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA,1000000,309113764.2,1.31763957
804,2012,AFG,Afghanistan,South Asia,Low income,IDA,523000000,238583385.4,1.17541612
806,2012,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,15000000,183204695.7,1.487082577
807,2012,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,1154000000,19024098026,5.075556494
808,2012,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,3000000,4563217859,0.784824721
810,2012,AUS,Australia,East Asia & Pacific,High income,Not classified,867000000,26216580848,1.671015796
811,2012,AUT,Austria,Europe & Central Asia,High income,Not classified,8000000,3187227449,0.778464251
812,2012,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,371000000,3246122613,4.658618252
813,2012,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,5000000,58966662.28,2.527177708
814,2012,BEL,Belgium,Europe & Central Asia,High income,Not classified,32000000,5168997834,1.04175649
815,2012,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,20000000,78223091.04,0.702056158
816,2012,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,4000000,147729698.9,1.323023736
817,2012,BGD,Bangladesh,South Asia,Lower middle income,IDA,184000000,1823425076,1.324419492
818,2012,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD,5000000,722052495,1.33635532
819,2012,BHR,Bahrain,Middle East & North Africa,High income,Not classified,26000000,1182180851,3.844573702
821,2012,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,75000000,807423262.8,1.229218722
823,2012,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,12000000,499870043.4,1.845594675
824,2012,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,327000000,33987005074,1.378656465
825,2012,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,20000000,411261473.9,2.159034489
826,2012,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD,6000000,326874161.7,2.266761131
828,2012,CAN,Canada,North America,High income,Not classified,197000000,20452107111,1.118404598
829,2012,CHE,Switzerland,Europe & Central Asia,High income,Not classified,10000000,4592165378,0.663502197
830,2012,CHL,Chile,Latin America & Caribbean ,High income,IBRD,62000000,5466101782,2.046290407
831,2012,CHN,China,East Asia & Pacific,Upper middle income,IBRD,1571000000,1.45128E+11,1.693368163
833,2012,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend,9000000,354447463.1,1.217846576
834,2012,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA,10000000,332493979.4,1.134550276
836,2012,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,207000000,11706271913,3.158960235
838,2012,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend,10000000,9736385.839,0.555765135
839,2012,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD,1000000,0,0
841,2012,CYP,Cyprus,Europe & Central Asia,High income,Not classified,6000000,414496321.4,1.659398696
843,2012,DEU,Germany,Europe & Central Asia,High income,Not classified,131000000,43798225349,1.241677479
845,2012,DNK,Denmark,Europe & Central Asia,High income,Not classified,105000000,4422458084,1.351818973
847,2012,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,661000000,9326287144,4.46107862
848,2012,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,88000000,2589776000,2.945452865
849,2012,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,281000000,4557748767,1.648175793
850,2012,ESP,Spain,Europe & Central Asia,High income,Not classified,224000000,18860623363,1.423637304
851,2012,EST,Estonia,Europe & Central Asia,High income,Not classified,2000000,436852911.6,1.88357958
852,2012,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA,193000000,366539017.7,0.86836209
853,2012,FIN,Finland,Europe & Central Asia,High income,Not classified,77000000,3943239958,1.526584659
855,2012,FRA,France,Europe & Central Asia,High income,Not classified,90000000,50216507403,1.8710806
